,index,URL,Date,Tweet,ID,Username,Replies,Reetweets,Likes,Quotes,conversationId,Language,Links,Media,Retweeted Tweet,Bookmarks
0,3538,https://twitter.com/ammiiik/status/1658010590240206855,2023-05-15 07:25:03+00:00,tutup aja ga si banknya drpd nyusahin nasabah @bankbsi_id https://t.co/u5H7K46Lpl,1658010590240206855,ammiiik,1,0,0,1,1658010590240206855,in,,https://pbs.twimg.com/media/FwJv17DakAAoSlW?format=jpg&name=orig,,0
1,3905,https://twitter.com/kumparan/status/1657955521356529665,2023-05-15 03:46:14+00:00,"Saham PT Bank Syariah Indonesia Tbk (BRIS) atau BSI mengalami penurunan sejak awal pembukaan perdagangan hari Senin (15/5), hingga 2,49 persen ke level 1.765 per lembar. #bisnisupdate #update #bisnis https://t.co/RapTVmN2BT",1657955521356529665,kumparan,0,2,0,0,1657955521356529665,in,https://kumparan.com/kumparanbisnis/saham-bsi-anjlok-2-49-persen-imbas-layanan-sempat-eror-ini-kata-analis-20PIP13jzlu?utm_source=Twitter&utm_medium=post&utm_campaign=int,,,0
2,1621,https://twitter.com/0xdermawan/status/1658408131272278021,2023-05-16 09:44:44+00:00,"@druwixon @bankbsi_id Oh iya sih, Saya tadi juga sempat lihat lewat di timeline Saya

Gak apa² om, utk hal-hal seperti ini memang harus diluruskan 👌",1658408131272278021,0xdermawan,0,0,0,0,1658285791486046208,in,,,,0
3,4889,https://twitter.com/zaqyyyyyyyyy/status/1657680361080639488,2023-05-14 09:32:50+00:00,@RochmatPurwanto @bankbsi_id @bank_indonesia Bisa di laporkan dan sertakan bukti sebagai lampiran surat untuk ditujukan kepada OJK dan tembusan ke Perlindungan konsumen Bank indonesia cabang terdekat @RochmatPurwanto,1657680361080639488,zaqyyyyyyyyy,0,1,0,0,1657217322447425538,in,,,,0
4,20394,https://twitter.com/Andywahyudi07/status/1656231946576625666,2023-05-10 09:37:22+00:00,"Min, layanan di @bankbsi_id udah bisa belom ya?",1656231946576625666,Andywahyudi07,1,0,0,0,1656231946576625666,in,,,,0
5,692,https://twitter.com/faizalmfi/status/1658662208799412224,2023-05-17 02:34:21+00:00,@fachrj @bankbsi_id - Cari root cause nya itu yg susah dan butuh waktu lebih banyak daripada recovery nya. Kalo root cause nya kenapa bisa kebobolannya aja belom tau apa yg mau diinfo. Makanya mungkin mereka belom ngerilis apa apa sampe auditnya kelar,1658662208799412224,faizalmfi,1,0,0,0,1658490307472941056,in,,,,0
6,22716,https://twitter.com/farid_wajdi70/status/1655958468900302852,2023-05-09 15:30:39+00:00,@bankbsi_id Cc lagi Uda @paijodirajo Ada utas dari @bankbsi_id 🤠,1655958468900302852,farid_wajdi70,1,0,0,0,1655925900477886464,in,,,,0
7,17390,https://twitter.com/AhmadRiski/status/1656460712661893120,2023-05-11 00:46:24+00:00,@AhmadGozali @bankbsi_id Sampai saat ini masih belum bisa cek saldo dan mutasi 🤦,1656460712661893120,AhmadRiski,0,0,0,0,1656145965609517062,in,,,,0
8,10158,https://twitter.com/SumandoGaek/status/1657236580422279169,2023-05-13 04:09:25+00:00,"@secgron @bankbsi_id Someone behind it. Seolah kena hack.  🤔 
BSI sedang naik daun, syariah sedang diatas angin. Tidak ada yg tdk mungkin.",1657236580422279169,SumandoGaek,0,0,2,0,1657192354829451264,in,,,,0
9,14530,https://twitter.com/anothersylife/status/1656589651627622400,2023-05-11 09:18:45+00:00,@avvvrylll @bankbsi_id jangan pilih bsi fast kak ganti ke yang online 6.500 ak langsung bisa,1656589651627622400,anothersylife,4,0,0,0,1655817689145942016,in,,,,0
